case_num,notes,cancer,med,organization,quantity,body part,gender,breed,condition
SL24-000112,Histopathology results:  MALIGNANT MELANOMA - GINGIVA * Mitotic count: 30 in 10 HPF(2.37mm2) . removed from jaw\r\n  melanoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,"['MALIGNANT MELANOMA', 'GINGIVA']",,,['Mitotic count'],,,,
SL24-000113,Not on chemo at this time. Searchlight DNA for treatment\r\n  Malignant melanoacanthoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,,"['chemo', 'Searchlight DNA']",,,,,,
SL24-000114,"CT scan (confirmed the presence of pulmonary nodules and inoperability of the mass due to thigh and abdominal wall invasion) and a trucut biopsy (undifferentiated sarcoma, chondrosarcoma vs osteosarcoma most likely). Doxorubicin chemotherapy was initiated on 12/24/23.\r\n  Inoperable undifferentiated sarcoma of the right flank with pulmonary metastasis Heart murmur due to mild mitral valve disease\r\n  Male\r\n  Collie\r\n  Canine\r\n  Neutered","['undifferentiated sarcoma', 'chondrosarcoma', 'osteosarcoma', 'undifferentiated sarcoma', 'pulmonary metastasis']","['Doxorubicin', 'chemotherapy']",,,,,,"['pulmonary nodules', 'Heart murmur']"
SL24-000115,Hx of hematuria. Work up revealed a R kidney mass\r\n  Renal sarcoma\r\n  Female\r\n  Doberman Pinscher\r\n  Canine\r\n  Spayed,,,,,,,,['hematuria']
SL24-000117,2402Q90199; B02348; Mast cell tumor\r\n  Cutaneous mast cell tumor\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Intact,,,,,,,,
SL24-000118,Lip swelling/mass (left side) - mildly atypical mesenchymal proliferation with lymphoplasmacytic inflammation  myocyte degeneration (mildly atypical spindle cells) - possible low grade spindle cell neoplasm or low grade soft tissue sarcoma Normal lymph nodes and no bony invasion. Patient's mass is very pruritic. Previous pathology report  CT report should be attached. Patient has no clinical symptoms except pruritis.\r\n  low grade STS vs mast cell vs other\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,"['spindle cell neoplasm', 'soft tissue sarcoma', 'STS']",,,,,['Spayed'],,"['mesenchymal proliferation', 'lymphoplasmacytic inflammation', 'myocyte degeneration', 'Normal lymph', 'bony invasion', 'pruritic', 'clinical symptoms']"
SL24-000119,See attached. Hx of MCT\r\n  Mast Cell Tumor\r\n  Female\r\n  Shih Tzu\r\n  Canine\r\n  Spayed,,,,,,,,
SL24-000121,See Attached\r\n  Pancreatic Carcinoma\r\n  Female\r\n  Boxer\r\n  Canine\r\n  Spayed,,,,,,,,
SL24-000120,Not on chemo at this time. Meds: Clavamox 500mg and Enrofloxacin 136mg\r\n  Spindle cell proliferation\r\n  Male\r\n  Rottweiler\r\n  Canine\r\n  Intact,,"['Clavamox', 'Enrofloxacin', 'Intact']",,,,,,
SL24-000127,"Bailey presented for recheck evaluation of a previously diagnosed malignant neoplasm located in the left axillary area with metastasis to the left prescapular lymph node on cytology from 1-15-24. Cytology from 1-30-24 confirmed metastatic carcinoma/adenocarcinoma in the spleen, left superficial axillary, left deep axillary lymph nodes. Bailey was previously diagnosed with completely excised with close margins (2 mm) poorly differentiated carcinoma located in the left cranio-lateral/axillary area\r\n  Metastatic carcinoma/adenocarcinoma\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed","['malignant neoplasm', 'metastatic carcinoma', 'adenocarcinoma', 'poorly differentiated carcinoma', 'carcinoma']",,,,,"['Bailey', 'Bailey']",,['metastasis']
SL24-000123,"-Right ear - mixed ceruminous gland carcinoma (MI:less than1) - incompletely excised 6/22/23 - total ear canal ablation (TECA) with no residual disease detected - 8/30/23; -Ventral neck/thorax - cutaneous squamous cell carcinoma (MI:34) - incompletely excised 6/22/23 - scar revision - pyogranulomatous deep dermatitis with intralesional foreign material and fibrosis, complete excision - 8/30/23 - recurrent - 1/29/24\r\n  Recurrent squamous cell carcinoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['mixed ceruminous gland carcinoma', 'cutaneous squamous cell carcinoma']",,,,,,,"['pyogranulomatous deep dermatitis', 'intralesional foreign material', 'fibrosis']"
SL24-000122,"Initially presented for ascites.  Diagnosed with non-resectable mass encircling common bile duct.  Incisional biopsy confirmed undifferentiated malignancy, r/o hepatocellular carcinoma, biliary carcinoma, neuroendocrine carcinoma, round cell tumor\r\n  Hepatobiliary neoplasia\r\n  Male\r\n  Bulldog\r\n  Canine\r\n  Neutered","['undifferentiated malignancy', 'r/o hepatocellular carcinoma', 'biliary carcinoma', 'neuroendocrine carcinoma']",,,,,,,"['ascites', 'non-resectable mass', 'Neutered']"
SL24-000124,"Thank you for entrusting Manolo to VCA California Veterinary Specialists for continued evaluation of a stromal cell tumor of the abdomen. Manolo also has a V/VI left-sided fourth intercostal space murmur, an umbilical hernia, and what appears to be regrowth of the gastrointestinal stromal tumor post-splenectomy. Palladia was initiated several months ago for the stromal tumor.\r\n  Stromal Cell Tumor\r\n  Male\r\n  Dachshund\r\n  Canine\r\n  Neutered","['stromal cell tumor', 'gastrointestinal stromal tumor']",,['VCA California Veterinary Specialists'],,,,"['Manolo', 'Manolo']","['V/VI left-sided fourth intercostal space murmur', 'umbilical hernia', 'regrowth', 'Palladia', 'Neutered']"
SL24-000125,7/2023; primary STS small intestine grade 2 1/2/24; abd mass/LN found\r\n  metastatic soft tissue sarcoma\r\n  Female\r\n  Australian Cattle Dog\r\n  Canine\r\n  Spayed,['STS'],,,,,,,
SL24-000126,"Pt has stage one splenic Hemangiosarcoma.  The splenic mass was an incidental finding, and was removed via splenectomy at Wheat Ridge Animal Hospital 2 weeks ago.\r\n  Hemangiosarcoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",['Hemangiosarcoma'],,['Wheat Ridge Animal Hospital'],,,,['Pt'],
SL24-000128,"Hx of progressive anorexia, diarrhea, and severe GI blood loss associated with jejunal mass. Removed 1/10/24; biopsy consistent with intermediate grade intestinal adenocarcinoma\r\n  Intestinal adenocarcinoma\r\n  Male\r\n  French Bulldog\r\n  Canine\r\n  Neutered",,,,,,,,"['anorexia', 'diarrhea', 'GI blood loss', 'jejunal mass']"
SL24-000129,Splenic mass found on AUS on 1/9/24. No mets on thoracic rads on 1/10/24. Splenectomy performed on 1/11/24. Also one large nodule present on each adrenal gland. The biopsy showed that the mass on the spleen was a splenic sarcoma. IHC showed that it was a splenic stromal sarcoma.\r\n  Splenic stromal sarcoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,['splenic sarcoma'],,['AUS'],,,,,
SL24-000131,"10 year old FS mixed breed dog. Developed erythematous swelling causing discomfort associated with vulvar region in December 2023. In January 2024, progressed to firm mass effect. FNA consistent with sarcoma. CT scan revealed large invasive mass effect associated with vagina/clitoral fossa. Marginal excision performed, consistent with undifferentiated malignant sarcoma. No additional treatment initiated.\r\n  Undifferentiated sarcoma (vimentin positive, negative for cytokeratin, CD20, CD3, Iba1, MelanA)\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['sarcoma', 'undifferentiated malignant sarcoma', 'Undifferentiated sarcoma']","['vimentin', 'cytokeratin', 'CD20', 'CD3', 'Iba1']",,,,['Spayed'],['FS mixed breed dog'],"['erythematous swelling', 'mass effect', 'invasive mass effect']"
SL24-000133,See attached\r\n  See attached\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,,,,,,,,
SL24-000134,"CXR:unremarkable AUS: left md iliac node slightly larger than right, jejunal or colonic lymph node hypo echoic and 1/5 cm, FNA of latter ln performed Cytology of jejunal LN: Consistent with metastatic sarcoma\r\n  Gastrointestinal stromal tumor or leiomyosarcoma, grade 2\r\n  Female\r\n  Pitbull\r\n  Canine\r\n  Spayed","['Gastrointestinal stromal tumor', 'leiomyosarcoma']",,,,,,,
SL24-000135,"Presented for vomiting and anorexia. AXR revealed mass effect, and AUS was performed, which revealed perforated cecal mass (free gas) with septic abdomen. Emergency laparotomy revealed a firm cecal mass invading the ileocecal junction. Resected mass and sample of abdominal fluid submitted for histopathology and culture. E. coli was cultured but susceptible to her current antibiotic therapy. Histopathology returned as a malignant intestinal wall spindle cell tumor and IHC confirmed a GIST.\r\n  Gastrointestinal stromal cell tumor\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['E. coli', 'malignant intestinal wall spindle cell tumor']","['AXR', 'AUS', 'antibiotic therapy']",,,,,,"['vomiting', 'anorexia', 'mass effect', 'perforated cecal mass', 'free gas', 'septic abdomen']"
SL24-000136,thymic carcinoma\r\n  thymic carcinoma\r\n  Female\r\n  Samoyed\r\n  Canine\r\n  Spayed,,,,,,,['Spayed'],
SL24-000137,2402B02891 (2402Q90228) papillary adenoma/low malignant carcinoma\r\n  2402B02891 (2402Q90228) papillary adenoma/low malignant carcinoma The client is informed about the small sample size.\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Intact,"['papillary adenoma', 'low malignant carcinoma']",,,,,,,
SL24-000139,splenectomy January 2024 right atrial mass found on echocardiogram February 2024 history of pericardial effusion\r\n  splenic hemangiosarcoma and right atrial hemangiosarcoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered,"['right atrial mass', 'splenic hemangiosarcoma']",,,,,,,
SL24-000141,Not on chemo at this time\r\n  hemophagocytic histiocytic sarcoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered,,['chemo'],,,,,,['Neutered']
SL24-000143,fibrosarcoma\r\n  reacurrance\r\n  Female\r\n  Tibetan Terrier\r\n  Canine\r\n  Spayed,,,,,,,,
SL24-000144,Pulmonary mass (tentative diagnosis) within left caudal lung; Dx on radiographs 1/17/24. Rosie presented to the Oncology service at BluePearl Tacoma for evaluation of newly found pulmonary mass. History:  Rosie had an episode of neck pain/discomfort a couple of weeks ago. Went to pDVM who took rads of the neck and chest. Found an incidental lung mass. Blood work was normal other than high T4. Was found to be hyperthyroid about 2-3 years ago. Has been taking Thyroxine. No other health concerns.\r\n  Pulmonary carcinoma\r\n  Female\r\n  Borzoi\r\n  Canine\r\n  Spayed,,['Thyroxine'],"['Oncology service', 'BluePearl Tacoma', 'pDVM']",,,,"['Rosie', 'Rosie']","['Pulmonary mass', 'pulmonary mass', 'neck pain', 'lung mass', 'T4', 'hyperthyroid']"
SL24-000145,History of left distal tibial OSA\r\n  Osteosarcoma\r\n  Male\r\n  Rottweiler\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL24-000146,Primary pulmonary carcinoma with intrapulmonary metastasis. Pet is coughing.\r\n  Primary pulmonary carcinoma with intrapulmonary metastasis. Pet is coughing.\r\n  Female\r\n  Dachshund\r\n  Canine\r\n  Intact,"['Primary pulmonary carcinoma', 'intrapulmonary metastasis', 'Primary pulmonary carcinoma']",,,,,,"['Pet', 'Pet']",['intrapulmonary metastasis']
SL24-000147,Suspect anal gland adenocarcinoma. Hx of bilateral analgland sacculectomy. Recommendations for chemotherapy.\r\n  Anal gland adenocarcinoma\r\n  Male\r\n  Basset Hound\r\n  Canine\r\n  Neutered,['anal gland adenocarcinoma'],,,,,,,['Neutered']
SL24-000148,"Mass popped up around the end of November, went to PSVS emergency. FNA samples showed blood and no evidence of cancer. Mass got larger and owner went to pDVM who took another sample (no definitive diagnosis with in-house cytology). X-rays of the neck were also done. Found no significant issues.\r\n  Histiocytic sarcoma\r\n  Male\r\n  French Bulldog\r\n  Canine\r\n  Neutered","['Mass', 'cancer', 'Mass']",,"['PSVS', 'pDVM']",,,,,['Neutered']
SL24-000149,Hemangiosarcoma; Metastasis to the Liver; Submitted is primary tumor of spleen 2401B01536 (E) - 2402Q90249\r\n  Hemangiosarcoma; Metastasis to the Liver; Submitted is primary tumor of spleen 2401B01536 (E) - 2402Q90249\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Intact,"['Hemangiosarcoma', 'Hemangiosarcoma']",,,,,,,['Intact']
SL24-000152,"L anal gland mass found 11/30/23. Presumed sublumbar metastasis due to sublumbar lymphadenopathy 12/9/2023. Metastasis lung 12/2/23. Pancreatitis 4/10/24. Started Palladia 80mg 12/7/23 and Rapamycin 3.3mg SID 12/31/23. Looking for chemotherapy options\r\n  Epithelial neoplasia, consistent with anal sac adenocarcinoma with LN and pulmonary metastatic disease\r\n  Female\r\n  Lab Mix\r\n  Canine\r\n  Spayed","['Epithelial neoplasia', 'anal sac adenocarcinoma', 'LN']","['Palladia', 'Rapamycin', 'chemotherapy']",,,,,,"['sublumbar metastasis', 'Pancreatitis']"
SL24-000151,"Was not on chemo at time the sample was taken.\r\n  Undifferentiated sarcoma, consistent with histiocytic sarcoma\r\n  Male\r\n  Beagle\r\n  Canine\r\n  Neutered",['Undifferentiated sarcoma'],['chemo'],,,,,,['Neutered']
SL24-000153,"metastatic sarcoma grade 2, incompletely excised along medial aspect of AS pinna base 5/2023, completely excised 9/2023\r\n  metastatic grade 2 soft tissue sarcoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered","['metastatic sarcoma grade 2', 'metastatic grade 2']",,,,,,,['Neutered']
SL24-000154,L-asparaginase given 2/5/2024 started CHOP 2/8/2024\r\n  Multicentric lymphoma (mediastinal and abdominal) - T cell\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Intact,['Multicentric lymphoma'],"['L-asparaginase', 'CHOP']",,,,,,
SL24-000158,"History of an intramuscular HSA, treated with surgical excision, and doxorubicin chemotherapy with Temozolomide was started on 2/12/2024.  Stages clean.\r\n  Intramuscular HSA\r\n  Female\r\n  Shetland Sheepdog\r\n  Canine\r\n  Spayed",['HSA'],"['doxorubicin chemotherapy', 'Temozolomide']",,,,,,
SL24-000159,"12/16/23- Colonic resection and anastomosis, colic lymph node extirpation, partial liver lobectomy.  No significant findings on bloodwork evaluation. Had staging CT scan prior to surgery.  Histopathology: 1. Liver mass, Caudate process: Hepatic nodular hyperplasia 2. Colonic Mass: Colonic adenocarcinoma with lymphatic invasion  regional lymph node metastasis, incomplete excision- 20 mitotic figures per ten high-power fields. 3. Colonic Lymph Node: Metastatic adenocarcinoma, incomplete excision\r\n  Metastatic colonic adenocarcinoma\r\n  Male\r\n  Maltese\r\n  Canine\r\n  Neutered","['Colonic Mass', 'Colonic adenocarcinoma', 'Metastatic adenocarcinoma']",,,['mitotic figures'],,,,"['Liver mass', 'Caudate process', 'Hepatic nodular', 'lymphatic invasion', 'Neutered']"
SL24-000160,"Bo is a 10 year old MC border collie with a rapidly growing mass over the right shoulder region first noted in July 2023. FNA and cytology in August 2023 was inconclusive but supicious for STS. Mass removal was attempted and aborted in Sept 2023 due to bradycardia and 3rd degree AV block, a pacemaker was placed in October 23. Bo received 5 fractions of RT 10/17-10/23/23 preoperatively\r\n  STS gr 3\r\n  Male\r\n  Border Collie\r\n  Canine\r\n  Neutered",,['pacemaker'],,['5 fractions'],,,"['Bo', 'MC border collie', 'Bo']","['STS', 'bradycardia', 'AV block']"
SL24-000161,"Epitheliotropic lymphoma -- right mandibular lip + right mandibular node (CD3+); noted 06/2023; removed 02AUG2023 (2mm margins, MI 44/10hpf); recurrent 16OCT2023; start pred + CCNU 18OCT2023; PR (25%) 25OCT2023, PR to CR 08NOV2023; CR 15NOV2023; PD 20DEC2023, start RAB 21DEC2023; PD 28DEC2023, start VINC; CR 04JAN2024; PD 08FEB2024; PR 16FEB2024 (Dex-SP), start Apoquel\r\n  epitheliotropic lymphoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",['Epitheliotropic lymphoma'],['Dex-SP'],,,,,,['recurrent']
SL24-000162,Didgy has a vasculitis from a severe spider bite and secondary wound in June 2022 treated at UC Davis.  She is on prednisone 10 mg/5 mg daily and Leflunomide 40 mg daily as well as Niacinamide 500 mg BID.  New firm irregular lesion at the left ear base noticed about 3 months ago and growing.  Spider bite and associated slough was right side of the head- she has facial paraylsis there.\r\n  Poorly differentiated sarcoma based on positive Vimentin stains and negative Sox 10 and PanCK on IHC histopath.\r\n  Female\r\n  Australian Shepherd\r\n  Canine\r\n  Spayed,['sarcoma'],"['prednisone', 'Leflunomide', 'Niacinamide', 'Vimentin', 'Sox 10', 'PanCK']",['UC Davis'],,,['Didgy'],,"['vasculitis', 'spider bite', 'secondary wound', 'irregular lesion', 'facial paraylsis']"
SL24-000163,"Suspect sarcoma, negative for CD204 - TruCut biopsy of right prescapular LN obtained on 17JAN2024. Multifocal lymphadenopathy (R mand, hepatic, aortic, sternal). FNA of liver/spleen were normal. Treated with single dose of CCNU - no clinical response. Patient will have larger biopsy samples collected 2/19. Vidium submission will be the TruCut samples but we can submit tissue from the 2/19 biopsies if needed.\r\n  Malignant neoplasia - r/o sarcoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['sarcoma', 'Malignant neoplasia']",['CCNU'],['TruCut'],"['2/19', '2/19']",,,,"['Multifocal lymphadenopathy', 'R mand', 'FNA', 'clinical response']"
SL24-000164,Patient with metastatic Apocrine gland anal sac adenocarcinoma; 2402Q13589\r\n  Patient with metastatic Apocrine gland anal sac adenocarcinoma; 2402Q13589\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Spayed,"['metastatic Apocrine gland anal sac adenocarcinoma', 'metastatic Apocrine gland anal sac adenocarcinoma']",,,,,,,
SL24-000165,"P vomited once 3 weeks ago and then again last week. No other clinical signs. Full panel bloodwork was normal with exception of elevated lipase. The tumor was an incidental finding on abdominal US.  No evidence of metastasis was noted on abdominal explore or 3 view chest radiographs. P is currently on Vetprofen, Gabapentin, Clavamox, Probiotic, Joint Supplement. No cancer therapy has been pursued at this time.\r\n  Fibrosarcoma vs Histiocytic Sarcoma\r\n  Female\r\n  American Staffordshire Terrier\r\n  Canine\r\n  Spayed","['tumor', 'Fibrosarcoma']","['lipase', 'Vetprofen', 'Gabapentin', 'Clavamox', 'Probiotic', 'Joint Supplement']",,['3'],,['Spayed'],,['metastasis']
SL24-000168,Insulinoma- marginally excised January 2023 - metastatic to ileocecal lymph node- marginally excised January 2023 - several hypoglycemia episodes October 2023 - metastatic to mesenteric lymph nodes- excised November 2023 - started Palladia November 2023 - progressive on Palladia February 2024\r\n  Insulinoma- marginally excised January 2023 - metastatic to ileocecal lymph node- marginally excised January 2023 - several hypoglycemia episodes October 2023 - metastatic to mesenteric lymph nodes- excised November 2023 - started Palladia November 2023 - progressive on Palladia February 2024\r\n  Female\r\n  Shih Tzu\r\n  Canine\r\n  Spayed,,"['Palladia', 'Palladia']","['Palladia', 'Palladia']",,,,,"['hypoglycemia episodes', 'hypoglycemia episodes']"
SL24-000170,Owner groomed Lola and noticed enlarged nodes. Futher work up = LSA\r\n  High Grade LSA\r\n  Female\r\n  Goldendoodle\r\n  Canine\r\n  Intact,,,,,,,['Lola'],['Intact']
SL24-000172,Please see attached paperwork.\r\n  OSA (telangiectatic)\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,,,,,,,,['OSA']
SL24-000175,"Splenic hemangiosarcoma -splenectomy performed 9/19/23 (PESCM) -started doxorubicin 10/9/23  -Completed Doxorubicin protocol 1/4/24- re staged clear 1/31/24  Heart-related -Degenerative Valve Disease (B1) - mitral and tricuspid -Mild LA and LV enlargement - not treatment needed yet -Possible trace pericardial effusion (only seen with zoomed image - artifact greater than hemorrhage or neoplasia) -Left ventricular hypertrophy - mild - hypertension, breed, infiltrative disease, artifact, other\r\n  Splenic HSA\r\n  Male\r\n  Dachshund\r\n  Canine\r\n  Neutered",['Splenic hemangiosarcoma'],"['doxorubicin', 'Doxorubicin']",,,,,,"['LA', 'pericardial effusion', 'artifact', 'hemorrhage', 'neoplasia', 'hypertension', 'infiltrative disease', 'artifact', 'Neutered']"
SL24-000176,"Had a grade II STS removed from left pelvic limb digits 4/5 May 2023 with narrow margins. Now has recurrence, metastatic popliteal LN, nodules tracking along the lymphatics up her leg and a nodule on the other leg, all metastatic sarcoma\r\n  metastatic soft tissue sarcoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",,,,,,,,"['recurrence', 'metastatic popliteal LN']"
SL24-000178,History of aggressive cutaneous hemangiosarcoma and apocrine gland anal sac adenocarcinoma\r\n  Cutaneous hemangiosarcoma\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,['cutaneous hemangiosarcoma'],,,,,,,
SL24-000177,History of R thyroid carcinoma; removed 3/2023. History of splenic nodules; splenectomy 1/24/24. Biopsy concerning for metastatic thyroid carcinoma.\r\n  metastatic neuroendocrine carcinoma; r/o thyroid\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,"['R thyroid carcinoma', 'metastatic neuroendocrine carcinoma']",,,,,,,['splenic nodules']
SL24-000198,"Cutaneous malignant melanoma, L anal sac Pigmented cutaneous mass L tarsus, 1 cm HX elevated liver enzymes -Diffuse liver enlargement on CT -4 mm pulmonary nodule\r\n  Malignant melanoma\r\n  Male\r\n  Miniature Schnauzer\r\n  Canine\r\n  Neutered","['malignant melanoma', 'Pigmented cutaneous mass']",['liver enzymes'],,,,,,
SL24-000181,"Receiving Carboplatin, Bleomycin and Vincristine, metastasis noted today via abdominal ultrasound\r\n  Stage 3 sertoli cell tumor\r\n  Male\r\n  German Shorthaired Pointer\r\n  Canine\r\n  Neutered",,"['Carboplatin', 'Bleomycin', 'Vincristine']",,,,,,"['metastasis', 'Neutered']"
SL24-000182,OMM debulked from right maxilla. No additional treatment started\r\n  Melanoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,['treatment'],,,,,,['Neutered']
SL24-000183,Professional dentistry on 2-15-2024 found oral mass caudal to mandibular molar two to gingival commissure mucosae.\r\n  oral melanoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,,,['Professional dentistry'],,,,,
SL24-000184,"Poorly differentiated neoplasm removed ventrolateral to vulva, IHC confirms histiocytic sarcoma, 2 masses in the lungs, progressive after CCNU oral chemotherapy\r\n  Histiocytic sarcoma\r\n  Female\r\n  Rottweiler\r\n  Canine\r\n  Spayed",['histiocytic sarcoma'],['IHC'],,['2'],,,['Spayed'],['progressive']
SL24-000186,April 2022- Grade II mammary carcinoma- complete but narrow excision; Recurrance Sept. 2023 High grade mammary adenocarcinoma- incomplete excision; received 2 doses of Mitoxantrone; Recurrence November with lymph node metastasis; Torigen Vaccine given and completed all 3 doses; 3 treatments of Carboplatin. Recurrance noted 2/2024 Palladia started while waiting for Vidium report\r\n  High Grade Mammary Carcinoma with lymph node metastasis\r\n  Female\r\n  Dachshund\r\n  Canine\r\n  Spayed,['High Grade Mammary Carcinoma'],"['Mitoxantrone', 'Torigen Vaccine', 'Carboplatin']",,"['2 doses', '3', '3']",,,,"['Recurrance', 'Recurrence', 'lymph node metastasis', 'Palladia']"
SL24-000187,MANDIBULAR MASS-MELANOMA\r\n  MELANOMA\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,,,,,,,,
SL24-000190,Not on chemo at this time.\r\n  Mast cell tumor\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,['chemo'],,,,,,['Neutered']
SL24-000193,"incompletely excised subcutaneus hemangiosarcoma. He presented to Oak View Veterinary Hospital on 22JAN24 to check a mass on the back of his neck that was noticed by the groomer 1 month prior. The mass was changing and possibly growing. Physical examination found a 2 inch, SQ mass on the right ventral neck. In-house FNA of the mass only found blood and 2 fat cells. He returned on 13FEB24 for surgery to remove the mass.\r\n  Hemangiosarcoma, subcutaneous\r\n  Male\r\n  Goldendoodle\r\n  Canine\r\n  Neutered","['subcutaneus hemangiosarcoma', 'Hemangiosarcoma']",,['Oak View Veterinary Hospital'],"['2 inch', '2']",,['groomer'],,"['mass', 'mass']"
SL24-000194,History of L prescapular mass - cytology consistent with soft tissue sarcoma.\r\n  Matrix-producing sarcoma; r/o myxosarcoma\r\n  Female\r\n  Norwich Terrier\r\n  Canine\r\n  Spayed,"['L prescapular mass', 'Matrix-producing sarcoma']",,,,,,,
SL24-000195,"Right elbow.  15.0 cm firm, fixed, multilobular mass involving the subcutaneous region of the caudal aspect of the right elbow joint. Previous cytology revealed mixed inflammation and mild cell proliferation.  6.0 mm punch biopsies obtained\r\n  Soft Tissue Sarcoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Intact",['Intact'],,,,,,,"['inflammation', 'cell proliferation']"
SL24-000199,"Mast Cell Tumor, 2402B03895\r\n  Mast Cell Tumor, 2402B03895\r\n  Male\r\n  Pug\r\n  Canine\r\n  Neutered","['Mast Cell Tumor', 'Mast Cell Tumor']",,,,,,,
SL24-000200,"Had a recent pyometra and spay in early Jan 2024.  A left-sided ovarian mass had been noted previously on an ultrasound at Penn (VHUP) on 4/12/2023, and during the surgery for pyometra and spay, the mass was removed and biopsied.  The mass ruptured in the abdomen, and while there was no evidence of spread of cancer into other parts of the abdomen, there was concern for potential future growth of satellite tumors in other parts of the abdomen as a consequence of the rupture and possible seeding\r\n  Ovarian adenocarcinoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['cancer', 'satellite tumors']",,['Penn'],,,,,"['left-sided ovarian mass', 'rupture']"
SL24-000201,"History of B cell, multicentric lymphoma.  Failed CHOP, mitoxantrone, Tanovea and now Elspar.\r\n  Lymphoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered","['B cell', 'lymphoma']","['CHOP', 'mitoxantrone', 'Tanovea']",,,,,,['Neutered']
SL24-000202,"Markedly erythematous, broadly swollen, raised swelling between the 6-9 o'clock position with pinpoint ulcer at the 6 o'clock position perianally - 3.5x2.3x1.5 cm, mass-like swelling in left anal sac - 3cm  AUS: sacral LN enlargement, hypoechoic nodules in the spleen, nodules liver    Fine needle aspirate/in-house cytology: Neutrophilic inflammation, melanoma/neoplastic cells and possible cocci\r\n  Melanoma\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",['melanoma'],,,,,,,"['pinpoint ulcer', 'sacral LN enlargement', 'hypoechoic nodules', 'Neutrophilic inflammation']"
SL24-000203,"??Medical History: 1. Skin allergies 2. Myxosarcoma, left popliteal (5-10-23) 3. Lymphedema 4. CCL Tear, left 5. Mast cell tumor (8-17-23)\r\n  Multifocal nodular myxomatous stromal proliferation The infiltration within the adipose tissue and moderate pleomorphism with mitotic activity is most consistentwith a sarcoma, and myxosarcoma is the most likely diagnosis in this case.\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed","['Myxosarcoma', 'Lymphedema', 'CCL Tear', 'Mast cell tumor', 'myxomatous stromal proliferation', 'sarcoma', 'myxosarcoma']",,,,,,,"['Skin allergies', 'mitotic activity']"
SL24-000205,Normal dog with littermate that has germline mutation diagnosed with Vidium.\r\n  No diagnosis\r\n  Female\r\n  Dachshund\r\n  Canine\r\n  Spayed\r\n,,,,,,,['Normal dog'],['germline mutation']
SL24-000206,Increased liver enzymes on routine bloodwork with primary care veterinarian.  Ultrasound found mass in left and right liver lobes which were removed for histopathology 1/30/2024 at Blue Pearl.  Chest x-rays and ultrasound showed no evidence of metastasis.\r\n  Hepatocellular carcinoma with mixed/biphasic differentiation\r\n  Female\r\n  Cavalier King Charles Spaniel\r\n  Canine\r\n  Spayed,['Hepatocellular carcinoma'],,['primary care veterinarian'],,,,['Blue Pearl'],['mass']
SL24-000207,"C-KIT NEGATIVE, SMOOTH MUSCLE ACTIN-NEGATIVE, NON-GIST, NON-LEIOMYOSARCOMA GASTRIC SARCOMA\r\n  GIST\r\n  Female\r\n  Pitbull Mix\r\n  Canine\r\n  Spayed",,,,,,,,
